features.0.0.weight	conv1.0.weight
features.4.conv.2.weight	conv4.0.conv.2.weight
features.4.conv.3.weight	conv4.0.conv.3.weight
features.4.conv.3.bias	conv4.0.conv.3.bias
features.4.conv.3.running_mean	conv4.0.conv.3.running_mean
features.4.conv.3.running_var	conv4.0.conv.3.running_var
features.4.conv.3.num_batches_tracked	conv4.0.conv.3.num_batches_tracked
features.5.conv.0.0.weight	conv4.1.conv.0.0.weight
features.5.conv.0.1.weight	conv4.1.conv.0.1.weight
features.5.conv.0.1.bias	conv4.1.conv.0.1.bias
features.5.conv.0.1.running_mean	conv4.1.conv.0.1.running_mean
features.5.conv.0.1.running_var	conv4.1.conv.0.1.running_var
features.5.conv.0.1.num_batches_tracked	conv4.1.conv.0.1.num_batches_tracked
features.5.conv.1.0.weight	conv4.1.conv.1.0.weight
features.5.conv.1.1.weight	conv4.1.conv.1.1.weight
features.5.conv.1.1.bias	conv4.1.conv.1.1.bias
features.5.conv.1.1.running_mean	conv4.1.conv.1.1.running_mean
features.5.conv.1.1.running_var	conv4.1.conv.1.1.running_var
features.5.conv.1.1.num_batches_tracked	conv4.1.conv.1.1.num_batches_tracked
features.5.conv.2.weight	conv4.1.conv.2.weight
features.5.conv.3.weight	conv4.1.conv.3.weight
features.5.conv.3.bias	conv4.1.conv.3.bias
features.5.conv.3.running_mean	conv4.1.conv.3.running_mean
features.5.conv.3.running_var	conv4.1.conv.3.running_var
features.5.conv.3.num_batches_tracked	conv4.1.conv.3.num_batches_tracked
features.6.conv.0.0.weight	conv4.2.conv.0.0.weight
features.6.conv.0.1.weight	conv4.2.conv.0.1.weight
features.6.conv.0.1.bias	conv4.2.conv.0.1.bias
features.6.conv.0.1.running_mean	conv4.2.conv.0.1.running_mean
features.6.conv.0.1.running_var	conv4.2.conv.0.1.running_var
features.6.conv.0.1.num_batches_tracked	conv4.2.conv.0.1.num_batches_tracked
features.6.conv.1.0.weight	conv4.2.conv.1.0.weight
features.6.conv.1.1.weight	conv4.2.conv.1.1.weight
features.6.conv.1.1.bias	conv4.2.conv.1.1.bias
features.6.conv.1.1.running_mean	conv4.2.conv.1.1.running_mean
features.6.conv.1.1.running_var	conv4.2.conv.1.1.running_var
features.6.conv.1.1.num_batches_tracked	conv4.2.conv.1.1.num_batches_tracked
features.6.conv.2.weight	conv4.2.conv.2.weight
features.6.conv.3.weight	conv4.2.conv.3.weight
features.6.conv.3.bias	conv4.2.conv.3.bias
features.6.conv.3.running_mean	conv4.2.conv.3.running_mean
features.6.conv.3.running_var	conv4.2.conv.3.running_var
features.6.conv.3.num_batches_tracked	conv4.2.conv.3.num_batches_tracked
features.7.conv.0.0.weight	conv5.0.conv.0.0.weight
features.7.conv.0.1.weight	conv5.0.conv.0.1.weight
features.7.conv.0.1.bias	conv5.0.conv.0.1.bias
features.7.conv.0.1.running_mean	conv5.0.conv.0.1.running_mean
features.7.conv.0.1.running_var	conv5.0.conv.0.1.running_var
features.7.conv.0.1.num_batches_tracked	conv5.0.conv.0.1.num_batches_tracked
features.7.conv.1.0.weight	conv5.0.conv.1.0.weight
features.7.conv.1.1.weight	conv5.0.conv.1.1.weight
features.7.conv.1.1.bias	conv5.0.conv.1.1.bias
features.7.conv.1.1.running_mean	conv5.0.conv.1.1.running_mean
features.7.conv.1.1.running_var	conv5.0.conv.1.1.running_var
features.7.conv.1.1.num_batches_tracked	conv5.0.conv.1.1.num_batches_tracked
features.7.conv.2.weight	conv5.0.conv.2.weight
features.7.conv.3.weight	conv5.0.conv.3.weight
features.7.conv.3.bias	conv5.0.conv.3.bias
features.7.conv.3.running_mean	conv5.0.conv.3.running_mean
features.7.conv.3.running_var	conv5.0.conv.3.running_var
features.7.conv.3.num_batches_tracked	conv5.0.conv.3.num_batches_tracked
features.8.conv.0.0.weight	conv5.1.conv.0.0.weight
features.8.conv.0.1.weight	conv5.1.conv.0.1.weight
features.8.conv.0.1.bias	conv5.1.conv.0.1.bias
features.8.conv.0.1.running_mean	conv5.1.conv.0.1.running_mean
features.8.conv.0.1.running_var	conv5.1.conv.0.1.running_var
features.8.conv.0.1.num_batches_tracked	conv5.1.conv.0.1.num_batches_tracked
features.8.conv.1.0.weight	conv5.1.conv.1.0.weight
features.8.conv.1.1.weight	conv5.1.conv.1.1.weight
features.8.conv.1.1.bias	conv5.1.conv.1.1.bias
features.8.conv.1.1.running_mean	conv5.1.conv.1.1.running_mean
features.8.conv.1.1.running_var	conv5.1.conv.1.1.running_var
features.8.conv.1.1.num_batches_tracked	conv5.1.conv.1.1.num_batches_tracked
features.8.conv.2.weight	conv5.1.conv.2.weight
features.8.conv.3.weight	conv5.1.conv.3.weight
features.8.conv.3.bias	conv5.1.conv.3.bias
features.8.conv.3.running_mean	conv5.1.conv.3.running_mean
features.8.conv.3.running_var	conv5.1.conv.3.running_var
features.8.conv.3.num_batches_tracked	conv5.1.conv.3.num_batches_tracked
features.9.conv.0.0.weight	conv5.2.conv.0.0.weight
features.9.conv.0.1.weight	conv5.2.conv.0.1.weight
features.9.conv.0.1.bias	conv5.2.conv.0.1.bias
features.9.conv.0.1.running_mean	conv5.2.conv.0.1.running_mean
features.9.conv.0.1.running_var	conv5.2.conv.0.1.running_var
features.9.conv.0.1.num_batches_tracked	conv5.2.conv.0.1.num_batches_tracked
features.9.conv.1.0.weight	conv5.2.conv.1.0.weight
features.9.conv.1.1.weight	conv5.2.conv.1.1.weight
features.9.conv.1.1.bias	conv5.2.conv.1.1.bias
features.9.conv.1.1.running_mean	conv5.2.conv.1.1.running_mean
features.9.conv.1.1.running_var	conv5.2.conv.1.1.running_var
features.9.conv.1.1.num_batches_tracked	conv5.2.conv.1.1.num_batches_tracked
features.9.conv.2.weight	conv5.2.conv.2.weight
features.9.conv.3.weight	conv5.2.conv.3.weight
features.9.conv.3.bias	conv5.2.conv.3.bias
features.9.conv.3.running_mean	conv5.2.conv.3.running_mean
features.9.conv.3.running_var	conv5.2.conv.3.running_var
features.9.conv.3.num_batches_tracked	conv5.2.conv.3.num_batches_tracked
features.10.conv.0.0.weight	conv5.3.conv.0.0.weight
features.10.conv.0.1.weight	conv5.3.conv.0.1.weight
features.10.conv.0.1.bias	conv5.3.conv.0.1.bias
features.10.conv.0.1.running_mean	conv5.3.conv.0.1.running_mean
features.10.conv.0.1.running_var	conv5.3.conv.0.1.running_var
features.10.conv.0.1.num_batches_tracked	conv5.3.conv.0.1.num_batches_tracked
features.10.conv.1.0.weight	conv5.3.conv.1.0.weight
features.10.conv.1.1.weight	conv5.3.conv.1.1.weight
features.10.conv.1.1.bias	conv5.3.conv.1.1.bias
features.10.conv.1.1.running_mean	conv5.3.conv.1.1.running_mean
features.10.conv.1.1.running_var	conv5.3.conv.1.1.running_var
features.10.conv.1.1.num_batches_tracked	conv5.3.conv.1.1.num_batches_tracked
features.10.conv.2.weight	conv5.3.conv.2.weight
features.10.conv.3.weight	conv5.3.conv.3.weight
features.10.conv.3.bias	conv5.3.conv.3.bias
features.10.conv.3.running_mean	conv5.3.conv.3.running_mean
features.10.conv.3.running_var	conv5.3.conv.3.running_var
features.10.conv.3.num_batches_tracked	conv5.3.conv.3.num_batches_tracked
features.11.conv.0.0.weight	conv6.0.conv.0.0.weight
features.11.conv.0.1.weight	conv6.0.conv.0.1.weight
features.11.conv.0.1.bias	conv6.0.conv.0.1.bias
features.11.conv.0.1.running_mean	conv6.0.conv.0.1.running_mean
features.11.conv.0.1.running_var	conv6.0.conv.0.1.running_var
features.11.conv.0.1.num_batches_tracked	conv6.0.conv.0.1.num_batches_tracked
features.11.conv.1.0.weight	conv6.0.conv.1.0.weight
features.11.conv.1.1.weight	conv6.0.conv.1.1.weight
features.11.conv.1.1.bias	conv6.0.conv.1.1.bias
features.11.conv.1.1.running_mean	conv6.0.conv.1.1.running_mean
features.11.conv.1.1.running_var	conv6.0.conv.1.1.running_var
features.11.conv.1.1.num_batches_tracked	conv6.0.conv.1.1.num_batches_tracked
features.11.conv.2.weight	conv6.0.conv.2.weight
features.11.conv.3.weight	conv6.0.conv.3.weight
features.11.conv.3.bias	conv6.0.conv.3.bias
features.11.conv.3.running_mean	conv6.0.conv.3.running_mean
features.11.conv.3.running_var	conv6.0.conv.3.running_var
features.11.conv.3.num_batches_tracked	conv6.0.conv.3.num_batches_tracked
features.12.conv.0.0.weight	conv6.1.conv.0.0.weight
features.12.conv.0.1.weight	conv6.1.conv.0.1.weight
features.12.conv.0.1.bias	conv6.1.conv.0.1.bias
features.12.conv.0.1.running_mean	conv6.1.conv.0.1.running_mean
features.12.conv.0.1.running_var	conv6.1.conv.0.1.running_var
features.12.conv.0.1.num_batches_tracked	conv6.1.conv.0.1.num_batches_tracked
features.12.conv.1.0.weight	conv6.1.conv.1.0.weight
features.12.conv.1.1.weight	conv6.1.conv.1.1.weight
features.12.conv.1.1.bias	conv6.1.conv.1.1.bias
features.12.conv.1.1.running_mean	conv6.1.conv.1.1.running_mean
features.12.conv.1.1.running_var	conv6.1.conv.1.1.running_var
features.12.conv.1.1.num_batches_tracked	conv6.1.conv.1.1.num_batches_tracked
features.12.conv.2.weight	conv6.1.conv.2.weight
features.12.conv.3.weight	conv6.1.conv.3.weight
features.12.conv.3.bias	conv6.1.conv.3.bias
features.12.conv.3.running_mean	conv6.1.conv.3.running_mean
features.12.conv.3.running_var	conv6.1.conv.3.running_var
features.12.conv.3.num_batches_tracked	conv6.1.conv.3.num_batches_tracked
features.13.conv.0.0.weight	conv6.2.conv.0.0.weight
features.13.conv.0.1.weight	conv6.2.conv.0.1.weight
features.13.conv.0.1.bias	conv6.2.conv.0.1.bias
features.13.conv.0.1.running_mean	conv6.2.conv.0.1.running_mean
features.13.conv.0.1.running_var	conv6.2.conv.0.1.running_var
features.13.conv.0.1.num_batches_tracked	conv6.2.conv.0.1.num_batches_tracked
features.13.conv.1.0.weight	conv6.2.conv.1.0.weight
features.13.conv.1.1.weight	conv6.2.conv.1.1.weight
features.13.conv.1.1.bias	conv6.2.conv.1.1.bias
features.13.conv.1.1.running_mean	conv6.2.conv.1.1.running_mean
features.13.conv.1.1.running_var	conv6.2.conv.1.1.running_var
features.13.conv.1.1.num_batches_tracked	conv6.2.conv.1.1.num_batches_tracked
features.13.conv.2.weight	conv6.2.conv.2.weight
features.13.conv.3.weight	conv6.2.conv.3.weight
features.13.conv.3.bias	conv6.2.conv.3.bias
features.13.conv.3.running_mean	conv6.2.conv.3.running_mean
features.13.conv.3.running_var	conv6.2.conv.3.running_var
features.13.conv.3.num_batches_tracked	conv6.2.conv.3.num_batches_tracked
features.14.conv.0.0.weight	conv7.0.conv.0.0.weight
features.14.conv.0.1.weight	conv7.0.conv.0.1.weight
features.14.conv.0.1.bias	conv7.0.conv.0.1.bias
features.14.conv.0.1.running_mean	conv7.0.conv.0.1.running_mean
features.14.conv.0.1.running_var	conv7.0.conv.0.1.running_var
features.14.conv.0.1.num_batches_tracked	conv7.0.conv.0.1.num_batches_tracked
features.14.conv.1.0.weight	conv7.0.conv.1.0.weight
features.14.conv.1.1.weight	conv7.0.conv.1.1.weight
features.14.conv.1.1.bias	conv7.0.conv.1.1.bias
features.14.conv.1.1.running_mean	conv7.0.conv.1.1.running_mean
features.14.conv.1.1.running_var	conv7.0.conv.1.1.running_var
features.14.conv.1.1.num_batches_tracked	conv7.0.conv.1.1.num_batches_tracked
features.14.conv.2.weight	conv7.0.conv.2.weight
features.14.conv.3.weight	conv7.0.conv.3.weight
features.14.conv.3.bias	conv7.0.conv.3.bias
features.14.conv.3.running_mean	conv7.0.conv.3.running_mean
features.14.conv.3.running_var	conv7.0.conv.3.running_var
features.14.conv.3.num_batches_tracked	conv7.0.conv.3.num_batches_tracked
features.15.conv.0.0.weight	conv7.1.conv.0.0.weight
features.15.conv.0.1.weight	conv7.1.conv.0.1.weight
features.15.conv.0.1.bias	conv7.1.conv.0.1.bias
features.15.conv.0.1.running_mean	conv7.1.conv.0.1.running_mean
features.15.conv.0.1.running_var	conv7.1.conv.0.1.running_var
features.15.conv.0.1.num_batches_tracked	conv7.1.conv.0.1.num_batches_tracked
features.15.conv.1.0.weight	conv7.1.conv.1.0.weight
features.15.conv.1.1.weight	conv7.1.conv.1.1.weight
features.15.conv.1.1.bias	conv7.1.conv.1.1.bias
features.15.conv.1.1.running_mean	conv7.1.conv.1.1.running_mean
features.15.conv.1.1.running_var	conv7.1.conv.1.1.running_var
features.15.conv.1.1.num_batches_tracked	conv7.1.conv.1.1.num_batches_tracked
features.15.conv.2.weight	conv7.1.conv.2.weight
features.15.conv.3.weight	conv7.1.conv.3.weight
features.15.conv.3.bias	conv7.1.conv.3.bias
features.15.conv.3.running_mean	conv7.1.conv.3.running_mean
features.15.conv.3.running_var	conv7.1.conv.3.running_var
features.15.conv.3.num_batches_tracked	conv7.1.conv.3.num_batches_tracked
features.16.conv.0.0.weight	conv7.2.conv.0.0.weight
features.16.conv.0.1.weight	conv7.2.conv.0.1.weight
features.16.conv.0.1.bias	conv7.2.conv.0.1.bias
features.16.conv.0.1.running_mean	conv7.2.conv.0.1.running_mean
features.16.conv.0.1.running_var	conv7.2.conv.0.1.running_var
features.16.conv.0.1.num_batches_tracked	conv7.2.conv.0.1.num_batches_tracked
features.16.conv.1.0.weight	conv7.2.conv.1.0.weight
features.16.conv.1.1.weight	conv7.2.conv.1.1.weight
features.16.conv.1.1.bias	conv7.2.conv.1.1.bias
features.16.conv.1.1.running_mean	conv7.2.conv.1.1.running_mean
features.16.conv.1.1.running_var	conv7.2.conv.1.1.running_var
features.16.conv.1.1.num_batches_tracked	conv7.2.conv.1.1.num_batches_tracked
features.16.conv.2.weight	conv7.2.conv.2.weight
features.16.conv.3.weight	conv7.2.conv.3.weight
features.16.conv.3.bias	conv7.2.conv.3.bias
features.16.conv.3.running_mean	conv7.2.conv.3.running_mean
features.16.conv.3.running_var	conv7.2.conv.3.running_var
features.16.conv.3.num_batches_tracked	conv7.2.conv.3.num_batches_tracked
features.17.conv.0.0.weight	conv8.0.conv.0.0.weight
features.17.conv.0.1.weight	conv8.0.conv.0.1.weight
features.17.conv.0.1.bias	conv8.0.conv.0.1.bias
features.17.conv.0.1.running_mean	conv8.0.conv.0.1.running_mean
features.17.conv.0.1.running_var	conv8.0.conv.0.1.running_var
features.17.conv.0.1.num_batches_tracked	conv8.0.conv.0.1.num_batches_tracked
features.17.conv.1.0.weight	conv8.0.conv.1.0.weight
features.17.conv.1.1.weight	conv8.0.conv.1.1.weight
features.17.conv.1.1.bias	conv8.0.conv.1.1.bias
features.17.conv.1.1.running_mean	conv8.0.conv.1.1.running_mean
features.17.conv.1.1.running_var	conv8.0.conv.1.1.running_var
features.17.conv.1.1.num_batches_tracked	conv8.0.conv.1.1.num_batches_tracked
features.17.conv.2.weight	conv8.0.conv.2.weight
features.17.conv.3.weight	conv8.0.conv.3.weight
features.17.conv.3.bias	conv8.0.conv.3.bias
features.17.conv.3.running_mean	conv8.0.conv.3.running_mean
features.17.conv.3.running_var	conv8.0.conv.3.running_var
features.17.conv.3.num_batches_tracked	conv8.0.conv.3.num_batches_tracked
