features.0.0.weight	conv1.0.weight
features.0.1.weight	conv1.1.weight
features.0.1.bias	conv1.1.bias
features.0.1.running_mean	conv1.1.running_mean
features.0.1.running_var	conv1.1.running_var
features.0.1.num_batches_tracked	conv1.1.num_batches_tracked
features.1.conv.0.0.weight	conv2.0.conv.0.0.weight
features.1.conv.0.1.weight	conv2.0.conv.0.1.weight
features.1.conv.0.1.bias	conv2.0.conv.0.1.bias
features.1.conv.0.1.running_mean	conv2.0.conv.0.1.running_mean
features.1.conv.0.1.running_var	conv2.0.conv.0.1.running_var
features.1.conv.0.1.num_batches_tracked	conv2.0.conv.0.1.num_batches_tracked
features.1.conv.1.weight	conv2.0.conv.1.weight
features.1.conv.2.weight	conv2.0.conv.2.weight
features.1.conv.2.bias	conv2.0.conv.2.bias
features.1.conv.2.running_mean	conv2.0.conv.2.running_mean
features.1.conv.2.running_var	conv2.0.conv.2.running_var
features.1.conv.2.num_batches_tracked	conv2.0.conv.2.num_batches_tracked
features.2.conv.0.0.weight	conv3.0.conv.0.0.weight
features.2.conv.0.1.weight	conv3.0.conv.0.1.weight
features.2.conv.0.1.bias	conv3.0.conv.0.1.bias
features.2.conv.0.1.running_mean	conv3.0.conv.0.1.running_mean
features.2.conv.0.1.running_var	conv3.0.conv.0.1.running_var
features.2.conv.0.1.num_batches_tracked	conv3.0.conv.0.1.num_batches_tracked
features.2.conv.1.0.weight	conv3.0.conv.1.0.weight
features.2.conv.1.1.weight	conv3.0.conv.1.1.weight
features.2.conv.1.1.bias	conv3.0.conv.1.1.bias
features.2.conv.1.1.running_mean	conv3.0.conv.1.1.running_mean
features.2.conv.1.1.running_var	conv3.0.conv.1.1.running_var
features.2.conv.1.1.num_batches_tracked	conv3.0.conv.1.1.num_batches_tracked
features.2.conv.2.weight	conv3.0.conv.2.weight
features.2.conv.3.weight	conv3.0.conv.3.weight
features.2.conv.3.bias	conv3.0.conv.3.bias
features.2.conv.3.running_mean	conv3.0.conv.3.running_mean
features.2.conv.3.running_var	conv3.0.conv.3.running_var
features.2.conv.3.num_batches_tracked	conv3.0.conv.3.num_batches_tracked
features.3.conv.0.0.weight	conv3.1.conv.0.0.weight
features.3.conv.0.1.weight	conv3.1.conv.0.1.weight
features.3.conv.0.1.bias	conv3.1.conv.0.1.bias
features.3.conv.0.1.running_mean	conv3.1.conv.0.1.running_mean
features.3.conv.0.1.running_var	conv3.1.conv.0.1.running_var
features.3.conv.0.1.num_batches_tracked	conv3.1.conv.0.1.num_batches_tracked
features.3.conv.1.0.weight	conv3.1.conv.1.0.weight
features.3.conv.1.1.weight	conv3.1.conv.1.1.weight
features.3.conv.1.1.bias	conv3.1.conv.1.1.bias
features.3.conv.1.1.running_mean	conv3.1.conv.1.1.running_mean
features.3.conv.1.1.running_var	conv3.1.conv.1.1.running_var
features.3.conv.1.1.num_batches_tracked	conv3.1.conv.1.1.num_batches_tracked
features.3.conv.2.weight	conv3.1.conv.2.weight
features.3.conv.3.weight	conv3.1.conv.3.weight
features.3.conv.3.bias	conv3.1.conv.3.bias
features.3.conv.3.running_mean	conv3.1.conv.3.running_mean
features.3.conv.3.running_var	conv3.1.conv.3.running_var
features.3.conv.3.num_batches_tracked	conv3.1.conv.3.num_batches_tracked
features.4.conv.0.0.weight	conv4.0.conv.0.0.weight
features.4.conv.0.1.weight	conv4.0.conv.0.1.weight
features.4.conv.0.1.bias	conv4.0.conv.0.1.bias
features.4.conv.0.1.running_mean	conv4.0.conv.0.1.running_mean
features.4.conv.0.1.running_var	conv4.0.conv.0.1.running_var
features.4.conv.0.1.num_batches_tracked	conv4.0.conv.0.1.num_batches_tracked
features.4.conv.1.0.weight	conv4.0.conv.1.0.weight
features.4.conv.1.1.weight	conv4.0.conv.1.1.weight
features.4.conv.1.1.bias	conv4.0.conv.1.1.bias
features.4.conv.1.1.running_mean	conv4.0.conv.1.1.running_mean
features.4.conv.1.1.running_var	conv4.0.conv.1.1.running_var
features.4.conv.1.1.num_batches_tracked	conv4.0.conv.1.1.num_batches_tracked
